Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Price,Discount,Region,Total_Sales
ORD-000001,,PRD-0419,11/07/2020,1,64305.48,0,North,64305.48
ORD-000002,CUST-01385,PRD-0115,09/26/2020,2,"58,209.53",15,East,98956.2
ORD-000003,CUST-00361,PRD-0392,05/15/2020,2,72151.24,0,North,144302.48
ORD-000004,CUST-00780,PRD-0003,09/17/2022,4,2354.02,5,North,8945.28
ORD-000005,CUST-01440,PRD-0062,05/30/2021,3,26481.82,10%,West,71500.91
ORD-000006,CUST-00644,PRD-0193,08/16/2023,2,50144.32,NA,North,100288.64
ORD-000007,CUST-01806,PRD-0177,10/31/2021,about 1,87566.72,5,North,83188.38
ORD-000008,CUST-00613,PRD-0449,01/30/2025,1,100964.81,10,north,90868.33
ORD-000009,CUST-00049,PRD-0108,09/03/2023,2,₹15429.57,20,north,24687.31
ORD-000010,CUST-00390,PRD-0314,03/15/2022,4,82226.92,15,East,279571.53
ORD-000011,CUST-00376,PRD-0379,04/04/2025,2,40457.01,5%,south,76868.32
ORD-000012,CUST-00424,PRD-0476,05/02/2022,1 pcs,"27,984.56",10,Central,
ORD-000013,CUST-00994,PRD-0414,03/13/2024,3,₹55306.49,0%,West,165919.47
ORD-000014,CUST-00451,PRD-0161,06/19/2025,1,113691.53,10,North,102322.38
ORD-000015,CUST-00529,PRD-0240,10/05/2023,1,₹9008.24,20,North,7206.59
ORD-000016,CUST-01707,PRD-0315,08/01/2021,3,88064.56,10,Central,237774.31
ORD-000017,CUST-01894,PRD-0067,04/10/2025,1,59916.38,10,East,53924.74
ORD-000018,CUST-00824,PRD-0284,02/11/2023,1,"2,209.29",,north,2209.29
ORD-000019,CUST-00761,PRD-0221,06/22/2021,3,₹591.72,15,NORTH,1508.89
ORD-000020,CUST-00810,PRD-0219,12/29/2024,3,"37,074.90",NA,North,111224.7
ORD-000021,CUST-01650,PRD-0122,06/09/2024,1,₹1160.31,5,North,1102.29
ORD-000022,CUST-01234,PRD-0121,04/14/2021,4,66805.63,0%,north,267222.52
ORD-000023,CUST-01579,PRD-0069,06/12/2023,1,71149.43,10,North,
ORD-000024,CUST-01843,PRD-0240,06/22/2025,3 pcs,87018.02,20,West,208843.25
ORD-000025,CUST-01193,PRD-0056,03/24/2025,1,87069.12,0,north,87069.12
ORD-000026,CUST-01972,PRD-0362,04/17/2022,2,9991.06,15,NORTH,16984.8
ORD-000027,CUST-01732,PRD-0497,07/05/2025,1 pcs,36865.78,15,West,31335.91
ORD-000028,CUST-01134,PRD-0083,08/25/2025,4,78870.28,5,north,299707.06
ORD-000029,CUST-00295,PRD-0424,07/04/2025,2,95454.72,0%,East,190909.44
ORD-000030,CUST-01433,PRD-0450,05/22/2025,1 pcs,802.67,NA,north,
ORD-000031,CUST-00988,PRD-0427,02/11/2023,2,4245.44,NA,south,8490.88
ORD-000032,CUST-01877,PRD-0395,05/13/2025,1 pcs,12138.01,5%,West,11531.11
ORD-000033,CUST-01194,PRD-0302,11/21/2020,1,"19,307.08",10,South,17376.37
ORD-000034,CUST-01572,PRD-0451,08/17/2024,5,49890.23,15,NORTH,212033.48
ORD-000035,CUST-00916,PRD-0470,02/09/2023,2,998.22,5,south,1896.62
ORD-000036,CUST-01438,PRD-0481,01/25/2022,1,2862.49,0,North,2862.49
ORD-000037,CUST-01348,PRD-0083,04/15/2021,1,15686.35,20,NORTH,12549.08
ORD-000038,CUST-01078,PRD-0101,04/24/2025,2,"4,070.35",10,East,7326.63
ORD-000039,CUST-00218,PRD-0384,10/15/2020,about 3,28546.54,0,North,85639.62
ORD-000040,CUST-01287,PRD-0208,05/13/2021,3,₹72711.40,5,South,207227.49
ORD-000041,CUST-00808,PRD-0221,02/21/2021,3,74068.43,NA,Central,222205.29
ORD-000042,CUST-00107,PRD-0018,05/15/2022,1 pcs,"5,908.39",10,South,5317.55
ORD-000043,CUST-01550,PRD-0054,02/28/2021,1,118001.16,0,North,118001.16
ORD-000044,CUST-01181,PRD-0145,08/23/2024,2,33348.69,0,south,66697.38
ORD-000045,CUST-01063,PRD-0237,11/12/2022,3,"47,071.59",10,Central,127093.29
ORD-000046,CUST-01823,PRD-0377,06/30/2022,3,112514.35,10,West,303788.75
ORD-000047,CUST-01421,PRD-0443,03/29/2023,1 pcs,₹75793.42,10%,south,68214.08
